review_id,place_id,user_id,rating_individual,review_text,time
17,4,Angela Cajo Reyes,5,"Charito is the best! She's super patient and passionate about each of her classes! She guides you clearly through each routine, and you can understand every instruction even if you've never done Pilates before! 100% recommended 🍀🥰",a year ago
18,4,Santiago Sosa,5,Very good 100% recommended.,a year ago
19,4,Javier Laguna,5,"Excellent training, I forgot about the muscle pain that limited me a lot!!",a year ago
20,4,Anace Laguna,5,Excellent instructor! Very well prepared and professional!,a year ago
21,4,Fabiola García Zevallos,5,100% recommended. His classes are excellent!,a year ago
22,6,Frank Acha Reyes,5,"Excellent service, well-cared for pets, perfect condition",3 years ago
23,6,Dennis Alfaro,5,Exelente atención,a year ago
24,6,rex mendez,5,"Very good attention, beautiful fish and turtles",2 years ago
25,6,juan LOPA,5,Good service,2 years ago
26,6,Luz Peña,5,Nice place,2 years ago
27,7,Tony Walker,5,Very tranquil place to relax & see the fish & turtles. Lots of police presence too which helped to make the park feel safe.,5 months ago
28,7,Alex Valdivielso,5,"Maybe the biggest park in San Isidro district, open to everyone. With benches and fountains a nice place to relax and ease your mind.",3 months ago
29,7,Luca Arteaga,5,One of the best place that I visit this year!,a year ago
30,7,Patsy Blas,5,"One of the most beautiful Parks in Lima 💜, and also between all of the olive trees you can find the oldest one, planted by Saint Martín de Porres, And which dates from 1637 😱",5 years ago
31,7,Damon Lesjack,4,Cute pond with lots of koi roiling around and lovely turtles. But the water is bright green meaning there is too much nutrient load from all the animals excrement and insufficient uptake by plants to filter out the abundance. Aeration is also helpful in keeping the water fresher. But I enjoyed all the flower planting in the middle of the pond islands.,7 years ago
32,8,shirish kade,5,Nice place,2 years ago
33,8,Ole Leon,5,"The central lagoon is large, not to be confused with the initial pond, which is somewhat commemorative and has a grotto dedicated to a Virgin Mary.
Both have carp or koi and turtles. The water is quite green, a bit murky in my opinion, but I see that it is constantly maintained.
The area is super beautiful, right in the heart of the district, perfect for walking around, relaxing for a moment, and sitting on the many benches along the way.
I definitely recommend the entire tour.",2 years ago
34,8,marco rios pita,5,"A relaxing, family-friendly space for a pleasant time. You can connect with the children's and adult theater next door. Close to Camino Real, Ovalo Gutiérrez, etc.",6 years ago
35,8,Luis Chavez,5,"Super quiet, a nice and peaceful place in the middle of the city. It causes you to return from time to time.",4 years ago
36,8,Ricardo Campi,5,Excellent forests to relax and have fun with friends,8 years ago
37,9,Victor Ayala Gómez,5,,a year ago
38,9,Nicolas Paredes Vertiz,5,,2 years ago
39,10,Christian Osterloh Regis,4,"Well cared for, health standards are respected",4 years ago
40,10,Oscar Peña,5,,4 years ago
41,10,Paul Graf,5,,4 years ago
42,11,Joaquin Dario Cahui Cabanillas,5,20/10 y god,7 months ago
43,11,Lhoris Mirakrana,5,It's a clean and large swimming pool. They provide swimming classes too.,8 years ago
44,11,Leonardo Vilcas,5,Good place,8 years ago
45,11,felipe adithya,3,More or less,5 years ago
46,11,Luis Gerardo Cuba Puente,5,"Excellent place to enjoy and entertain with loved ones, I recommend it.",8 months ago
47,12,Victor Lev,1,"Park in the district of San Juan de Miraflores, zone D, it is fenced and you cannot enter, the only redeeming feature is that it contributes to our ecosystem due to its greenery, the surrounding area is a bit dangerous due to crime, I do not recommend coming to this park at night and alone.",6 years ago
48,12,Julber Morán,3,"Urban area, currently with many new restaurants so to speak, very quiet during the day, but it is not advisable to travel after 10pm due to poor security and the influx of people of dubious origin.",9 years ago
49,12,LA GN,3,"The photo section shows a photograph of a leafy area with a sort of artificial lagoon, but the park itself doesn't have such a facility.",7 years ago
50,12,Hekotr Medina,5,A quiet park to hang out in,4 years ago
51,12,Carlos Capcha,3,The area could be improved. There's a lack of public safety. There's prostitution in the area.,9 years ago
52,13,Patt Z,5,It's very big the city hall can have more attention and take care of this place maybe you need some improvements liberal is nice and they take place of the of the trees I like for that reason,6 months ago
53,13,Leonardo Garcia,5,"This is a great park, bisected by a busy road but it's still plenty bit to jog or slackline or stage star wars enactments...all.of which I do. There will be occasional braws, like the one I say today, an eight way group fight, just low lifes. To the police's credit they were ""on it"". Two minutes and they were breaking up the fight, no knives or guns or anything just some punk wannabees. If you want more safety you'll have to spend a little more money to live in San Isidro.",5 years ago
54,13,Billy Park,4,Good place to see many people. But very crowded on weekends.,2 years ago
55,13,Andrew Joyce-Gibbons,5,Great park for young families playing around or on apparatus. Lots of shade.,5 years ago
56,13,Elser Llanos,5,Great place to enjoy nature.,2 years ago
57,14,Yamil Osuna,5,The site is well preserved and has security. The fish in the lagoon are a very beautiful attraction.,2 years ago
58,14,Segundo Rodríguez,5,I was pleasantly surprised to find her in this park.,2 years ago
59,14,Alexander Fung,4,To relax your eyes,a year ago
60,14,Ленин Санчес,5,,a year ago
61,15,Jonathan Yucra,4,"A very pleasant place to rest. It stays cool during the hottest hours. If you want to feed the fish, don't give them bread, as it causes them to die. If you want to feed them, bring fish food, following the park attendants' instructions.",2 years ago
62,15,rosana h nuñez m,5,A very quiet place to spend a pleasant time,3 years ago
63,15,Sahory Gutierrez Mendivil,4,The little jars are no longer there.,6 years ago
64,15,Vero Alejandra,5,,a year ago
65,15,Julio Guerra,5,,2 years ago
66,16,Flor Alicia Molina Basteres,2,"It's nice but just looking at one thing, it needs maintenance on the bots and more cleaning on the vests, but the customer service is good. The cost is 6 soles per motor, they pay from 1 year of age.",2 weeks ago
67,16,Angie Zacarias,1,"OVERRATED (the boat ride)
The service is poor, the lines are very long, and when it's finally your turn, you're stuck on a boat ride that lasts less than 5 minutes.
The ""Machu Picchu"" model is neglected, in poor condition, and has a very unpleasant smell. The cost is 6 soles and it's not worth it.

They also removed the pedal boat ride.",6 months ago
68,16,Jeymar André Sandoval Monforte,5,"The lagoon is very pretty, the pedal boats are excellent, and the area has a great atmosphere, very quiet and peaceful. It's recommended to go on a weekday or stop by early to enjoy this activity without so many people. The prices are affordable for what a wonderful activity it is.",3 years ago
69,16,Diego Pérez,5,"An artificial lagoon in the Legends Park. You have to pay extra to access the 8-person boat. They give you a life jacket. At the end, they've built a small tunnel that you can access by boat, and there's a large model of Machu Picchu.",11 months ago
70,16,Juan jose Pinedo vargas,4,"Very, very beautiful, it's almost a tourist place to go and see, and although you can have a very nice time in real life.",7 years ago
71,17,Paul Yonatan Mamani Chambi,5,"The recreational lagoon ""Tantaycocha"" is an artificial lagoon located in the park of legends, this place is ideal for boat rides and driving pedal boats, in the center there are two islands, it also has a tunnel in which you can appreciate the image of one of the 7 wonders of the modern world ""Machu Picchu"", it is highly recommended if you like to take walks in lagoons, it also has some dolphin sculptures in the center, for soles per person you can take a boat ride and for 9 soles you can drive a pedal boat for two people.",3 years ago
72,17,Marbella Cuenca,5,CUTE,3 years ago
73,17,DIMELSA CAMAVILCA LLANA,5,"A lovely place to go with the family. Although it's quite windy. Bring a t-shirt, hat, sunscreen, and plenty of water. Beautiful scenery!",6 years ago
74,17,Anita Requejo vega,5,I like,3 years ago
75,17,Abel Flores Mamani,3,Nice family place,2 years ago
76,18,Fidel,4,,11 months ago
77,19,Tatiana Alejandra Piscoya Garay,3,,a year ago
78,19,Marlon Arevalo,4,,2 years ago
79,19,Diego Amarista,5,,3 years ago
80,21,Jose Chahua Silva,5,,5 years ago
81,21,Isabel Oropeza Ricci,3,,7 years ago
82,22,Fidela Ochoa Huaman,3,"It is a quiet place to share with the family, you can do many activities. Although it does not have signs, it makes it difficult to find some places, and some of its employees are not very friendly.",6 years ago
83,22,Mary Marquez Oficial,5,Nice place,a year ago
84,22,Anderson Becerra,4,it's pretty,a year ago
85,22,Milagros Valery Rosales Rodriguez,4,,11 months ago
86,22,Xiomara,3,,a year ago
87,23,Gaudencio Manolo Laguna Mogollón,5,"Everything for pets
CARRIERS, CAGES, BEDS, CLOTHING, FOOD.
FOOD FOR BIRDS, GUINEA PIES, RABBITS, AND MUCH MORE.",a year ago
88,23,Ingeniería Celular Andina,5,All products are available at affordable prices and the service is excellent.,5 years ago
89,23,versatil 34,5,Good prices and variety of products,10 months ago
90,23,Yaleska Arocha,2,,3 years ago
91,24,Bami Nasi,4,It's a really nice place to relax. Lots of animals like fish and birds.,a week ago
92,24,Sam Pepin,5,"Very very pretty little laike with surrounding Park area. The park is nice, and has a few vendors for snacks, and the lake it's self is full of fish and birds of all shapes and sizes. It's a nice spot to grab some shade, sun, or whatever else you may be wanting to do. A clean safe place in La Molina is not hard to come by, but this one stands out in particular. Highly recommend!",7 years ago
93,24,Jon Riggins,5,"Very cool place for relaxing or walking annimals or just taking a walk with your honey. Venders there can sell you bird, duck, or fish food for the wild animals. Beautiful here",6 years ago
94,24,Antioquia TOURS AGENCIA DE TURISMO,5,Full days al 986092976,4 years ago
95,24,Michael Velario,5,A nice place to go for a walk and relax. Very secure.,6 months ago
96,25,Alex Passini,5,"I went to my best friends wedding here, it was an amazing setting with over 150 guests the catering superb and great view.",9 years ago
97,25,Sun “Bucky” Times,5,Come and chill in La Molina very peaceful place to meditate and admire nature.,8 years ago
98,25,Maria,4,Nice club. Recommended.,11 months ago
99,25,PIERO ASTOHUAMAN,5,Xvr,8 years ago
100,25,Alessandra Escurra,5,Nature and peace,9 years ago
101,26,Liz Castillo,2,"The view was great but the service was ok. It wasn’t busy but a table got served before us even though we arrived before them. We ordered the waffles which were not fluffy as expected. We also got the crispy chicken sandwich with fries. The sauce it came with was good and spicy but the sandwich was flavorless. If you want to take cute pics and enjoy a nice view, this place is for you but if you’re looking to have a great meal go somewhere else. 2.5 stars",6 months ago
102,26,Traci Cosio,2,"I visited this cafe with a friend on a weekday afternoon and we had our choice of tables. Service was friendly and attentive.

I opted for a cappuccino and avocado toast, and shared the hummus with a friend since it was supposed to be really good. Sadly, there was very little flavor to any of the food and I had to reach for the salt grinder, which I never do.

There’s another spot just down the road that serves one of the best tostada con plata dishes I’ve had in Lima. Next time, we will head there instead since the conversation was the best part of this outing.",7 months ago
103,26,Maria,4,"Nice cafe, but expensive.",a year ago
104,26,Gianina Allison,5,"I go there regularly, the view is beautiful, the food too, it's pet friendly, once I went with my dogs and they gave them water 💖, it's a cozy place and the salads are delicious too",3 weeks ago
105,26,Juanma Gesto,5,"A very nice place and atmosphere. A beautiful view of the lagoon and delicious food. We went with our dog, and they also took excellent care of him, giving him complimentary water and treats.",4 months ago
106,27,Pingui,4,"A beautiful place I didn't know existed. It's an artificial lagoon with fish, ducks, and other birds.
A lovely spot for a photo shoot, it has good scenery and some benches to rest and relax. When I went, there wasn't any place selling food for the fish and birds; it's clean and well-maintained.",a month ago
107,27,Eduardo Salazar,5,"Good place to visit and walk a little, or have a family picnic, artificial lagoon",2 months ago
108,27,Juan,3,Beautiful place. The lagoon and wildlife need more care and maintenance.,2 weeks ago
109,27,Jean Q.,5,"A relaxing and calm space, you can feed the fish with food sold at the kiosk.",2 months ago
110,27,Marcelo Jimeno,5,"I fell in love with the place, I would come back a thousand times more.",2 months ago
111,28,Maria,5,Beautiful small park. On the weekends could be very crowded because this place is very popular with locals. Highly recommended.,11 months ago
112,28,Cinthya Morocho,5,A very quiet place to relax and de-stress. Very clean and the surroundings are very beautiful too.,6 months ago
113,28,Guillermo Renteria Gonzalez,5,This viewpoint allows us to appreciate the Laguna de la Molina in an exceptional way. It is a very quiet place where you can walk and take a walk and have a pleasant time.,4 months ago
114,28,Roberto Hernández,5,"A nice place to go camping, celebrate a birthday, eat something outdoors, it is located in La Molina, but if you want to see something like in the photo, it is difficult to see. It really happens in just a few seconds, so I recommend spending the afternoon in company and relaxing for a while.",2 years ago
115,28,juan carlos AR,5,"Bravazo, a good place to spend a pleasant time in contact with nature and a small space of flora and fauna near a lake, visit it.",a year ago
116,30,ERNESTO CHAVEZ,4,A pleasant space for the visual enjoyment of the Lagoon,3 years ago
117,30,Yeyson Guevara,5,,7 months ago
118,31,Carlos Magno Góngora Carbajal,5,Exclusive.,4 years ago
119,31,Randy Piña oviedo,5,,3 years ago
120,31,ROSEL ALTAMIRANO OROSCO,4,,3 years ago
121,32,Judith jiménez,5,When I arrive I am impressed to see how beautiful the place is.,4 months ago
122,33,Eduardo Henrique Macêdo Pinagé,5,nature is perfect,2 years ago
123,33,Jaime Delgado,5,,a year ago
124,34,Rafael Obed Olivares Barbaran,5,"My family and I always go to that park and even though we've always gone, we always have fun.",2 months ago
125,34,Carlos Edgar Tapia paredes,5,Muy  bonito,8 months ago
126,34,Miguel Evaristo Abad Espinoza,5,,a year ago
127,35,Diana Cabrera,4,Good place to relax.,8 years ago
128,35,Daniel Chapa Vasquez,4,,7 years ago
129,36,Bill Dean,5,Only had time for a drink and burger but the decorations and music were on point. The food was very affordable (under 15 soles) so I wasn't expecting the world. The decorations were very fun and the drinks were cold. Fun little spot to be enjoyed indoors or from the patio/deck.,a year ago
130,36,German Bocarruido España,4,"It's a decent place, everything is 8 soles. The food is not that good as you can expect for the price, but it's a good option to go with friends for some drinks",4 years ago
131,36,Jean-Pierre Ybáñez,5,What I like the most was the drinks. The restobar offers great value for money,a year ago
132,36,Jackeline C.G.,5,Cvhr,3 years ago
133,36,Martin Alexis Gonzalez Vidal,4,Just for beers,3 years ago
134,37,La Cabra,1,It's not a lake. It is a water tank.,a year ago
135,38,Roberto Dominguez Yañez,5,Ok,a year ago
136,38,Segundo Serrano,5,Good,2 years ago
137,38,Oscar Alegría,4,Good,5 years ago
138,38,Cristian D FLORES GARCIA,3,Ok,7 years ago
139,38,julieth vasquez caja,5,H e r m o s o,7 years ago
140,39,gustavo arevalo,3,"The phone number belongs to a private individual, and the address is a house, and all the information is completely wrong.",a year ago
141,40,David Guardamino Ojeda,5,Modern facilities and good audio quality... for sure you will not miss any part of the gospel,8 years ago
142,40,AGAPE MĄRIĄCHI SHOWS & EVENTOS,5,Linda 🥰❤️,a year ago
143,40,Fabio Luna,5,A beautiful mass with the participation of the children of the first communion 🙏🤗🙏🤗🙏🤗,a month ago
144,40,Soraya Guevara,5,"What can be said about a parish? The interior is beautiful, and the secretariat is staffed by friendly and helpful people. The masses are pleasant.",6 years ago
145,40,D L,5,The Mass and the ceremony of the anointing of the Holy Spirit...very beautiful!!! The altar was very pretty!!!,4 years ago
146,41,Alfonso Mongrut,5,"The masses are very beautiful, there is an atmosphere of love, peace and encounter.",a month ago
147,41,manuel vila,5,"In this Holy Week, thank you for keeping a church alive, the resounding of a campaign, once again summoned my family as before, seeing that it has grown in community and in spaces, I hope it continues to grow with the possibility of also extending to Santa Isabel Street",5 months ago
148,41,David Yagi,5,"Estive aí no mês passado, depois de muitos anos sem frequentar. O Altar mudou e estavam arrumando o piso também. Porém, o clima familiar e aconchegante continua presente...",5 years ago
149,41,Flor Diana Loo Li,4,"The mass was beautiful, my granddaughter had her First Communion, excellent presentation!!",a year ago
150,41,Erik Milton Agüero García,4,"It is a very cozy place. Imposing altarpiece made of wood.
The Blessed Sacrament deserves a special mention.",6 years ago
151,42,Allison Mayer,5,Great Adoration Chapel,8 years ago
152,42,R. A. O.,5,A beatiful catholic church,6 years ago
153,42,Jose Carlos Isasi,5,Good 👌,6 years ago
154,42,Juan de Dios,3,"Finally, since June, the PARISH OFFICE is now open in the afternoons.
MONDAY TO FRIDAY
8:00 AM TO 1:00 PM
2:00 PM TO 4:30 PM
On Saturdays, sometimes there are events like bingo, so they don't have any.
It's best to come in; they don't always answer by phone.",2 months ago
155,42,Paola Urquiaga,5,"This beautiful parish offers 24-hour Eucharistic Adoration, thanks to its faithful worshippers. So, you can give our Lord a little of your time and spend with him. Rest assured, it's the best investment.",2 weeks ago
156,43,iLombardi,5,Good service and a lot of professionalism.,3 years ago
157,43,peter hidalgo,5,Highly recommended,7 months ago
158,43,Javier delgado san roman,5,Good service...,3 years ago
159,43,jesus martin Severino,4,,3 years ago
160,44,Cesar J Vertiz,5,Beautiful and peaceful place for praying time,2 years ago
161,44,Mariel Memm Gmail,4,Ok.,4 years ago
162,44,Piero,5,"It is a well-kept church. The parish has activities, it is a matter of going to ask on the side.",5 months ago
163,44,Gissel Portuguez,5,Mass and confessions. Perfect.,a month ago
164,44,Juan Carlos Vidal Morales,5,A very friendly and community atmosphere,3 weeks ago
165,45,Kennedy Mahr,5,Awesome,a year ago
166,45,Melvin Gamarra,5,Every place where mass is held is equally important.,3 weeks ago
167,45,Alfred Moon,3,"The atmosphere is peaceful. It has welcoming facilities and the place is well maintained. The church is medium-sized and looks tidy. Everything is fine: the atmosphere, the well-maintained infrastructure, the priest's homily in simple and understandable language, the prayers to the Blessed Virgin Mary and Saint Joseph at the end of Mass, etc.

What really caught my attention was the church choir: it is very festive, using various musical instruments, including the charango, bass drum, shaker, tambourine, guitar, etc. The choirs (with various singers) also draw attention with their harmonies and some changes in the rhythms and cadences of the songs, making them even more joyful compared to those I've heard in other churches.

For a moment, I thought I was at a celebration in a Protestant church.

I am also surprised that at the time of the Eucharist, they begin to play songs with very cheerful melodies when receiving Jesus is a solemn and reflective moment. There is joy in receiving Christ, of course, but after receiving the body of Jesus, the person goes to their seat and says a prayer and communicates with Jesus God, praying and giving thanks for the gift received... but I feel that the songs are too distracting. In other parishes, they play ""Fisher of Men"" and similar songs, which seem more appropriate to me.

It would be nice to return to the times of solemnity and respect for the sacrifice that is the Mass, because as we know, in the Mass the sacrifice of the cross is made present and is an offering to God. We should be aware of this fact and avoid distractions. Regarding musical instruments, Pope Pius X recommended the use of the organ, but there are many recommendations that are no longer heeded, giving way to modern customs. As I heard recently: the Church should not adapt (modernize) to the times, but rather the opposite.",a month ago
168,45,Geraldine Olaechea,1,"It's a business deal between the priest and the people who attend. It's not religious at all; it's not a place of faith, it's a place of lust and idleness. I hope this comment helps someone.",7 months ago
169,45,Pablo Canaves,5,"Beautiful parish. If you're looking for something in Lima, it's worth coming here.",7 years ago
170,46,cesar retes,4,Amen,a month ago
171,46,Cesar Castillo,3,Ok,6 years ago
172,46,Liliana Gallardo,4,Beautiful church,6 years ago
173,46,Monica LaRosa,5,A place of welcome. The Franciscan charism is lived fully. There are confessions during all masses. Excellent option to live Holy Week intensely.,5 months ago
174,46,Lourdes Wong M,5,"It's a Capuchin Franciscan parish. They have several meeting rooms, bathrooms, and confessionals. In addition, fans are installed inside the church in the summer, making it very cool. Masses are usually held on Sundays at 7:30/9:00/10:30/12:00/6:00, and 7:30 p.m.
There are also regular retreats and catechism talks.",6 years ago
175,47,Richard ajalcriña magallanes,4,good place,5 years ago
176,47,Marco A. Mendoza F.,4,"It's a fairly spacious, tidy, and clean church. It's open part of the morning, and the priests are quite attentive.
It has an oratory for exposing the Blessed Sacrament, as well as two rooms for wakes, and if I'm not mistaken, there are services in other areas besides the parish office.",2 years ago
177,47,Johanna R. Moscoso S.,4,"Excellent and simple wake room, very good location, close to the train station, the staff is ready to help, the sshh is impeccable, they charge 350 soles for 1.5 days, I truly recommend it",5 years ago
178,47,Renzo J. Khàmm,4,"Very nice and spacious temple.
Have a toilet!! 🤩",2 years ago
179,47,Christiam Fernández Gutiérrez,3,"Confirm hours...on Facebook it says: ""Hours 7:00 a.m., 9:00 a.m., 12:00 p.m., 5:00 p.m., and 7:00 p.m.."" Is it Mon-Fri or Sat-Sun?",4 months ago
180,48,Alberto Gonzales,5,"Best Mass experience in Surco. Loved the solemnity, clockwork organization, great atmosphere and the homily is sure to strike a cord.",8 months ago
181,48,Steve Adams,5,Went to a 1st communion here and was impressed with the structure even though I dont speak Spanish I felt right at home in this church. There is underground parking that leads directly into the church. The bathrooms  were clean and these was also a small place to grab food and a drink. The outside gardens were beautiful,6 years ago
182,48,Jj Del Carpio (jjdelc),5,I'm not the guy to go to churches so I'll talk about the building. It's very pretty and huge! Definitely looks stunning. It has lots of parking space and thr main chamber can admit several hundreds.,6 years ago
183,48,Jordan Garay zapata,4,"The church is really spacious and beatiful.

However, it gets really really hot when crowded. There is no aircon, so it turns a but uncomfortable.",2 years ago
184,48,Jon Swift,5,Very large modern design church.  Like the reflection pool.,4 years ago
185,49,Andrés -ğąmęř,5,Ok,6 years ago
186,49,Patricia Ville Alon,5,The Archdiocesan Shrine of Our Lord of Divine Mercy is located next to Friendship Park in the Surco district. Its grounds are striking and beautiful. It's a beautiful church to feel connected to our faith.,3 weeks ago
187,49,Kevin De Madariaga Soto,5,"Nice church, super spacious, has parking outside, several spaces but it usually fills up quickly. Good lighting and has space for a choir or musical group to accompany the mass.",5 months ago
188,49,Martin Torres Z.,5,I rejoice in the Lord Jesus Christ for this chapel so well done for the atmosphere of prayer and silence,3 weeks ago
189,49,K CHR,5,"The children's Mass on Sundays at 11 a.m. is very nice and enjoyable. Yesterday, the first Sunday of Advent, they put on a very entertaining puppet show.
They also have health clinics and psychological counseling services; the services they provide to the community are excellent value for money. We felt listened to and welcomed by Father Carlos regarding a family health issue.",5 years ago
190,50,MÓNICA Cabrera,5,"Nice church, the masses are beautiful and very active. Place where you find peace and above all connection with Our Lord God 🙏🏼",10 months ago
191,50,Fernando Kevin Veliz Vivas,5,"Every 12th, Mass of the Virgin of Guadalupe, on the Friday of the second week of each month the ""Puchero Guadalupano""",7 years ago
192,50,José Paz,5,"It is a very beautiful church, it has many details that make it a charming place. On the front there is a large image of the Virgin made of a metallic-looking material that gives it a peculiar shine. The Church is located within the Unión Panamericana park and there are three entrances and all three lead you to the main altar. The latter makes it different from other temples. I reiterate that it is a very beautiful church.",7 years ago
193,50,Kike Limo LIMO,5,"Many thanks to our Creator and Savior for bringing us together in prayer, renewing and reaffirming our faith and trust. So be it.",a year ago
194,50,Manuel García,5,"Beautiful church, excellent design to honor the mother of God",2 years ago
195,51,Habilidades Sáaaenz,3,You can come to make donations. They require support for the children.,6 years ago
196,51,paula ruiz,5,I went to a school activity....it was excellent,a year ago
197,51,Manuel Oscar Ortega,5,The masses denote the faith of devotion with hope,5 years ago
198,51,Ivan Aliaga Pastor,5,Not the place but the mass,6 years ago
199,51,Raul Vasquez Vivanco,5,Very good,10 years ago
200,52,Dana Liebe,5,Hola mis Peruvianos e Peruvianas amigos.Mi familia es Peruvianas e Canadians. (English) Hi my Peruvian friends.My family is Peruvian and Canadian. I lived in Peru but I am forgetting Spanish so I'm saying this in English. My Mom and Dad talked about this place.,12 years ago
201,52,Juan Pablo Rojas Tovar,5,Great and awesome  church very good comunity,6 years ago
202,52,Elba Libert Cruces,5,Linda!!!,2 years ago
203,52,"Padre Peter Oromuno Theocracy, Cmf",5,Nice,7 years ago
204,52,Gustavo Callupe Pacheco,5,Linda,3 years ago
205,53,Fru Clovis,5,Nice house of worship. Well located for easy access.  Priests are very welcoming and cheerful,5 years ago
206,53,Jose Fajardo,3,The priest was very polite and attended our friend Walter Peralta's mass in a professional manner.,a month ago
207,53,Luis Fernando Grados Chaw,5,Very pleasant memories of my oldest daughter's religious years.,3 weeks ago
208,53,Pilar Vidal,4,"It's a beautiful church, with a special space for people with small children. This space provides some noise isolation for other attendees and allows parents with young children to hear the Mass better, as they don't have to leave the church to calm their children (they can have them walk around in this space, and even entertain themselves with a toy). I also 100% recommend Father Victor's Mass on Sundays at 6 pm, as it has a very unique style, with a touch of humor while still being spiritually uplifting.
Community life is also encouraged, and parishioners are always invited to join the various parish groups.
It's only recommended that you take precautions due to its location, as the surroundings are somewhat hectic and could be a target for theft if you're not from the area.",6 years ago
209,53,Pedro Cherre,5,"Clean, Safe and very nice homilies.
Just improve the Sound to make it clearer.
Advisable.",11 months ago
210,54,Hugo Carmona,4,Ok,2 months ago
211,54,soles nuevos,3,.      .,5 years ago
212,54,karen cornejo,5,Amen,6 years ago
213,54,Jhair Emanuel Rosadio Camahualí,1,"Gentlemen, it's a complete lack of respect that once a month or something similar, you hold processions USING A BAND in what is supposed to be a RESIDENTIAL area. No one tells you not to carry out your religious activities, but you respect the peace of the neighbors.",2 weeks ago
214,54,Manuel Cárdenas,5,A welcoming church in Surquillo. Peace and spiritual tranquility.,2 months ago
215,55,Michael Velario,5,Beautiful little church with many available services. Next to a beautiful Catholic school,3 years ago
216,55,Lisbeth,5,Beautiful church ⛪️,11 months ago
217,55,Libia Alfaro,5,I am a vicentian like to visit this church I was baptize.,5 years ago
218,55,Jose Luis Juscamayta Meza,5,Ok,6 years ago
219,55,Miguel Medianero,1,"Every time they celebrate a holiday, they do so with an exaggerated, excessive, inconsiderate, and insensitive display of fireworks that lasts all afternoon and evening.
This only demonstrates the lack of empathy for animals and people sensitive to these noises, like those with autism.
What kind of ecclesiastical authority approves of such irresponsible expressions?",3 months ago
220,56,Johnny jv,3,Ok,5 years ago
221,56,miguel angel flores revollar,5,Good,6 years ago
222,56,Fiorela Muñoz,5,"A super nice parish, my nephew's baptism took place and everything was very nice",2 years ago
223,56,Digitando Estilo,5,Excellent The father gives a beautiful mass 🙏,2 years ago
224,56,Julio Zuñiga,5,"New and comfortable benches, pleasant atmosphere, priests who understand what they preach.",10 months ago
225,57,Xyle L,4,This beautiful roman catholic Church in Miraflores is open to public and lights up at night. A member welcomed me to explore the church after mass and can help in Spanish,2 years ago
226,57,Tiago Correia,5,Very beautiful and calm. Nice to see something from Portugal in Peru.,6 years ago
227,57,Daniel Sonner,5,A beautiful catholic church in Miraflores right at the ocean,a year ago
228,57,Pedro Zapfel,5,Nice. Moving service at Sunday noon.,4 months ago
229,57,Mary Clare,5,So beautiful! Got to attend daily Mass.,3 years ago
230,58,Geoffrey Bishop,5,"The newly renovated Parroquia La Virgen Milagrosa is truly a treasure in the heart of Miraflores. The moment you step inside, you are met with a sense of peace and reverence. The restored building is stunning, but it is the magnificent dome that takes your breath away which is a masterpiece of craftsmanship that draws your eyes upward in awe. Every detail speaks to the care and devotion poured into this sacred space. Whether you come to pray, reflect, or simply admire the beauty, this church is a place that uplifts the spirit and honors its deep history. A must‑see for anyone visiting Lima.",2 months ago
231,58,Keith Moore,4,"This is a beautiful church, and it is a working building, not a tourist attraction.  There were plenty of worshipers in the pews when I went for a visit.  It's beautiful inside, and it's worth stopping in when you're in the neighborhood.  The neighborhood itself also has a lot going for it.",2 months ago
