title,text,rating,date_original,year,month,visit_category,language,tokens_count,keywords,id,sentiment_overall,sentiment_score,type,review.review_id,review.title,review.text,review.rating,review.date_original,review.year,review.month,review.visit_category,review.language,review.sentiment.overall,review.sentiment.score,review.tokens_count,review.keywords,data,dtitle,name,source_id,review_id,business_unit,trip_type,author.name,author.country,location.name,location.city,location.country,tour_id,reviews,isFake,fakeReason,data.title,data.text,data.rating,data.date_original,data.year,data.month,data.visit_category,data.language,data.sentiment.overall,data.sentiment.score,data.tokens_count,data.keywords,detailed,año,mes,titulo,texto,calificación,fecha_original,categoría_visita,idioma,conteo_tokens,palabras_clave,sentimiento.general,sentimiento.puntuación,detailed_analysis.step_1_review_id,detailed_analysis.step_2_title,detailed_analysis.step_3_text,detailed_analysis.step_4_rating,detailed_analysis.step_5_date,detailed_analysis.step_6_language,detailed_analysis.step_7_sentiment,detailed_analysis.step_8_tokens_count,detailed_analysis.step_9_keywords,final_output.title,final_output.text,final_output.rating,final_output.date_original,final_output.year,final_output.month,final_output.visit_category,final_output.language,final_output.sentiment.overall,final_output.sentiment.score,final_output.tokens_count,final_output.keywords,a,b,c,d_original,e,f,g,h,l,m,i.j,i.k,tags,reviewer.name,reviewer.country,reviewer.total_reviews,property.property_id,property.property_name,property.brand,property.address,property.stars,property.property_type,stay.check_in,stay.nights_stayed,stay.room_type,stay.num_guests,stay.num_rooms,stay.purpose,stay.travelers,ratings.cleanliness,ratings.comfort,ratings.location,ratings.facilities,ratings.staff,ratings.value_for_money,ratings.wifi,ratings.avg_rating,ratings.max_rating,trip_info.source,trip_info.trip_type,trip_info.device,trip_info.helpful_votes,a2,reviewId,author,authorUrl,authorImage,review,ratingDate,numHelpful,labels,pics,reviewLink,pubdate,is_verified,source,hotel_name,city,country,gfg,gpt,prompt_tokens,completion_tokens,total_tokens,stays,trip_date,trip_composition,stay_duration,languages,version,photos,helpful_count,responses,product_info,reviewer.user_image,reviewer.username,reviewer.url,reviewer.age_group,reviewer.language,reviewer.is_verified,reviewer.contributions,reviewer.location,reviewer.first_review,reviewer.last_review,reviewed.id,reviewed.title,reviewed.description,reviewed.url,reviewed.photo_count,reviewed.location,dates.review,dates.property,dates.collected,duplicated,similarity_score,original_review_id,reviewer_similarity_score,metadata.reviewer_name,metadata.reviewer_location,metadata.reviewer_contribution_count,metadata.reviewer_helpful_count,metadata.reviewer_avatar,stars,date,required,properties.title.type,properties.text.type,properties.rating.type,properties.date_original.type,properties.year.type,properties.month.type,properties.visit_category.enum,properties.language.type,properties.sentiment.type,properties.sentiment.properties.overall.enum,properties.sentiment.properties.score.type,properties.sentiment.required,properties.tokens_count.type,properties.keywords.type,properties.keywords.items.type,a5d5a,gpt4o,total_reviews,detailed_analysis,dtext,drating,ddate_original,dyear,dmonth,dvisit_category,dlanguage,dtokens_count,dkeywords,dsentiment.doverall,dsentiment.dscore,d1e1a2c,t,r,d_o,y,v_c,t_c,k,s.o,s.sc,reviewer,reviewer_city,reviewer_country,dato_original,d11a2b3c,d,dual,message,properties.visit_category.type,properties.sentiment.properties.overall.type,properties.sentiment.properties.score.minimum,properties.sentiment.properties.score.maximum,properties.keywords.minItems,properties.keywords.maxItems,d7e4b1a,a123,titl3,categoria_visita,sentimiento.puntaje,groomer_id,groomer_name,groomer_image_thumb
"This is the perfect tour to familiarize yourself with Lima, the city and its popular destinations.",Kind and knowledgeable tour guide catered the trip to our interests and shared her extensive knowledge of Lima. Best tour ever!,5.0,"Written September 8, 2023",2023.0,September,Unknown,en,38.0,"['perfect', 'tour', 'lima', 'city', 'popular', 'destinations', 'kind', 'knowledgeable', 'guide', 'interests', 'knowledge']",11,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great start to visit Lima,This was a fun way to see Lima. John Paul was very friendly and informative. This tour was amazing and highly recommend it.,5.0,Oct 2022 • Family,2022.0,October,Family,en,27.0,"['lima', 'john', 'paul', 'tour', 'friendly', 'informative', 'amazing', 'recommend']",12,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru Street food is a must!,"We did the Lima street food tour with Paula. And boy was it just amazing to end our Peru trip with a filled tummy! We learnt so much about Peruvian cuisine. We had ChiFa (Chinese-Peruvia), yummy churros, and so many more! Our guide Paula was amazing and very knowledgeable. She looked after us very well. We also learnt a lot about the history of Peru. Thank you Paula for an awesome tour!",5.0,Aug 2022 • Couples,2022.0,August,Couple,en,85.0,"['paula', 'peru', 'lima', 'street', 'food', 'tour', 'cuisine', 'chifa', 'churros', 'history']",13,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonderful walking tour in Lima,"We, my husband, me and two friends, booked a walking tour with Urban Adventures for an afternoon walking tour on our one day in Lima.  Our guide was Paula, and she was wonderful, very knowledgeable, funny and personable.  Her English was great, and she did not only show us interesting sites in the city, including a wonderful market, she also took us on the bus tot the center of the city, and talked about the Peruvian culture, politics etc.  It was a wonderful way to learn much about Lima and Peru in a short time, and from a wonderful warm and funny person like Paula.",5.0,Sep 2019,2019.0,September,Friends,en,110.0,"['walking', 'tour', 'paula', 'lima', 'guide', 'wonderful', 'cultural', 'urban', 'adventures', 'peruvian']",14,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig & Linda,"This was our first trip to Lima and we wanted a tour that would give us an experience of Lima, it’s people and beautiful sites!!! Paula was our wonderful tour guide and she gave us this experience plus much more like all the amazing history, answering all our questions!!! We would highly recommend this tour...ask for Paula!!!",5.0,Sep 2019 • Couples,2019.0,September,Couple,en,64.0,"['lima', 'paula', 'tour', 'guide', 'history', 'experience', 'recommend', 'sites', 'trip', 'people']",15,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great afternoon.,"Thanks Paula for a greatDiscovery Tour. Lovely personality, good knowledge with plenty of history to help understand Lima and Peru.",5.0,"Written September 6, 2019",2019.0,September,Unknown,en,29.0,"['paula', 'discovery', 'tour', 'lovely', 'personality', 'knowledge', 'history', 'lima', 'peru']",16,positive,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great chance to sneak out from business and meet Lima,"Our guide Gladys shared both history and stories from today about Lima and Peru. A great chance to explore local food and drinks, plenty of opportunities to ask questions! And Convento San Francisco in the end was marvellous!Only improvement opportunities I found is that the guide should wear the Urban Adventure sweatshirt, to make the identification easier at meeting point.",5.0,"Written May 3, 2019",2019.0,May,Business,en,79.0,"['gladys', 'lima', 'peru', 'guide', 'food', 'drinks', 'questions', 'convento', 'francisco', 'urban', 'adventure']",17,positive,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantastic opportunity to learn about local life,"I was lucky enough to be the only person on the tour so I had Gladys' full attention. We took a public bus to Lima's historic center. Gladys provided a thorough overview of the churches and government buildings along with Lima's history. The real highlight was the walk through the central market. This was what I was looking for. After a week with my friends exploring the tourist attractions around the country I wanted to see how everyday Peruvians lived. I wanted to go off the beaten path. There you can find everything for sale from food to dresses to pots and pans to bags. Unlike other markets such as Marrakech, which itself is a tourist attraction, this market had few tourists and was a true instution that locals shopped at.I really appreciated the time and attention that Gladys provided to me. After this tour I felt that my trip to Peru was complete.Thank you!",5.0,"Written April 22, 2019",2019.0,April,Friends,en,168.0,"['gladys', 'lima', 'market', 'local', 'tour', 'peruvians', 'history', 'central', 'bus', 'institution']",18,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellent introduction to Lima,"Paula was our guide in this Lima Discovery  tour. She was an excellent guide, full of great insights into the city. We walked through a local market, took a bus to the Plaza de Armes, had a Pisco sour and gelato and gained a great deal of knowledge about the city in the short time that we had.Definitely recommend this tour.",5.0,Apr 2019 • Family,2019.0,April,Family,en,67.0,"['paula', 'lima', 'guide', 'discovery', 'tour', 'plaza', 'armes', 'pisco', 'sour', 'market']",19,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good guide and scary catacombs!,"My girlfriend and me took this tour as a part of a bigger package and it wasn't disappointing at all. Our guide Gladis knew a lot about the city and its history. The visit in the catacombs of the monastery was very exciting: lots of real skulls and bones everywhere - scary, but impressive!!",5.0,"Written April 11, 2019",2019.0,April,Couple,en,83.0,"['guide', 'catacombs', 'gladis', 'skulls', 'bones', 'monastery', 'exciting', 'history', 'city', 'impressive']",20,positive,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport Transfer Cusco,Lila was amazing. Our travels were complicated by LATAM Airlines terrible operations but Lila was super understanding and friendly about the changes. She was on time with a sign. She also helped LATAM find bags for other passengers as well as us that were lost. I wish we could've spent more time with Lila. 10 stars,5.0,Aug 2025 • Family,2025.0,August,Family,en,64.0,"['lila', 'airport', 'transfer', 'cusco', 'latam', 'bags', 'friendly', 'understanding', 'on time', 'amazing']",21,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Incredible service! Punctuality, kindness and attention.","In fact, since the airport reception by Carolina Valeriano (who also accompanied and guided our tours daily), the guides who remained in knowledge and sympathy , the punctuality of the drivers on the tours and finally the Jonatan - who took us to Cusco airport, checked in with us and helped send out the bags - I only have compliments for the team! In our journey you were irreversible, you reached perfection!Thank you very much and continue like this!",5.0,Aug 2025 • Couples,2025.0,August,Couple,en,89.0,"['carolina', 'jonatan', 'cusc', 'tours', 'guides', 'punctual', 'service', 'airport', 'team', 'compliments']",22,positive,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
